home_team_name,away_team_name,referee,home_team_corner_count,away_team_corner_count,total_corners,stadium_name
Manchester United,Leicester City,Andre Marriner,2,5,7,Old Trafford (Manchester)
Newcastle United,Tottenham Hotspur,Martin Atkinson,3,5,8,St. James' Park (Newcastle upon Tyne)
AFC Bournemouth,Cardiff City,Kevin Friend,7,4,11,Vitality Stadium (Bournemouth- Dorset)
Fulham,Crystal Palace,Mike Dean,5,5,10,Craven Cottage (London)
Huddersfield Town,Chelsea,Chris Kavanagh,2,5,7,John Smith's Stadium (Huddersfield- West Yorkshire)
Watford,Brighton & Hove Albion,Jonathan Moss,8,2,10,Vicarage Road (Watford)
Wolverhampton Wanderers,Everton,Craig Pawson,3,6,9,Molineux Stadium (Wolverhampton- West Midlands)
Liverpool,West Ham United,Anthony Taylor,5,4,9,Anfield (Liverpool)
Southampton,Burnley,Graham Scott,8,5,13,St. Mary's Stadium (Southampton- Hampshire)
Arsenal,Manchester City,Michael Oliver,2,9,11,Emirates Stadium (London)
Cardiff City,Newcastle United,Craig Pawson,5,5,10,Cardiff City Stadium (Cardiff (Caerdydd))
Everton,Southampton,Lee Mason,2,5,7,Goodison Park (Liverpool)
Leicester City,Wolverhampton Wanderers,Mike Dean,1,9,10,King Power Stadium (Leicester- Leicestershire)
Tottenham Hotspur,Fulham,Anthony Taylor,5,2,7,Wembley Stadium (London)
West Ham United,AFC Bournemouth,Stuart Attwell,6,4,10,London Stadium (London)
Chelsea,Arsenal,Martin Atkinson,5,1,6,Stamford Bridge (London)
Burnley,Watford,Paul Tierney,5,2,7,Turf Moor (Burnley)
Manchester City,Huddersfield Town,Andre Marriner,10,3,13,Etihad Stadium (Manchester)
Brighton & Hove Albion,Manchester United,Kevin Friend,3,5,8,The American Express Community Stadium (Falmer- East Sussex)
Crystal Palace,Liverpool,Michael Oliver,6,7,13,Selhurst Park (London)
Wolverhampton Wanderers,Manchester City,Martin Atkinson,5,9,14,Molineux Stadium (Wolverhampton- West Midlands)
AFC Bournemouth,Everton,Lee Probert,6,2,8,Vitality Stadium (Bournemouth- Dorset)
Arsenal,West Ham United,Graham Scott,7,2,9,Emirates Stadium (London)
Huddersfield Town,Cardiff City,Michael Oliver,7,7,14,John Smith's Stadium (Huddersfield- West Yorkshire)
Southampton,Leicester City,Jonathan Moss,10,3,13,St. Mary's Stadium (Southampton- Hampshire)
Liverpool,Brighton & Hove Albion,Chris Kavanagh,8,5,13,Anfield (Liverpool)
Watford,Crystal Palace,Anthony Taylor,6,3,9,Vicarage Road (Watford)
Fulham,Burnley,David Coote,6,4,10,Craven Cottage (London)
Newcastle United,Chelsea,Paul Tierney,4,5,9,St. James' Park (Newcastle upon Tyne)
Manchester United,Tottenham Hotspur,Craig Pawson,5,2,7,Old Trafford (Manchester)
Leicester City,Liverpool,Paul Tierney,4,4,8,King Power Stadium (Leicester- Leicestershire)
Brighton & Hove Albion,Fulham,Lee Probert,7,1,8,The American Express Community Stadium (Falmer- East Sussex)
Chelsea,AFC Bournemouth,Lee Mason,7,6,13,Stamford Bridge (London)
Crystal Palace,Southampton,Martin Atkinson,7,4,11,Selhurst Park (London)
Everton,Huddersfield Town,Stuart Attwell,4,3,7,Goodison Park (Liverpool)
West Ham United,Wolverhampton Wanderers,Chris Kavanagh,4,4,8,London Stadium (London)
Manchester City,Newcastle United,Kevin Friend,4,0,4,Etihad Stadium (Manchester)
Cardiff City,Arsenal,Anthony Taylor,3,9,12,Cardiff City Stadium (Cardiff (Caerdydd))
Burnley,Manchester United,Jonathan Moss,2,5,7,Turf Moor (Burnley)
Watford,Tottenham Hotspur,Andre Marriner,3,10,13,Vicarage Road (Watford)
Tottenham Hotspur,Liverpool,Michael Oliver,5,4,9,Wembley Stadium (London)
AFC Bournemouth,Leicester City,Craig Pawson,4,6,10,Vitality Stadium (Bournemouth- Dorset)
Chelsea,Cardiff City,Jonathan Moss,5,4,9,Stamford Bridge (London)
Huddersfield Town,Crystal Palace,Lee Mason,5,3,8,John Smith's Stadium (Huddersfield- West Yorkshire)
Manchester City,Fulham,Stuart Attwell,10,4,14,Etihad Stadium (Manchester)
Newcastle United,Arsenal,Lee Probert,10,4,14,St. James' Park (Newcastle upon Tyne)
Watford,Manchester United,Mike Dean,6,8,14,Vicarage Road (Watford)
Wolverhampton Wanderers,Burnley,Andre Marriner,8,2,10,Molineux Stadium (Wolverhampton- West Midlands)
Everton,West Ham United,Martin Atkinson,4,2,6,Goodison Park (Liverpool)
Southampton,Brighton & Hove Albion,Anthony Taylor,1,4,5,St. Mary's Stadium (Southampton- Hampshire)
Fulham,Watford,Martin Atkinson,8,8,16,Craven Cottage (London)
Burnley,AFC Bournemouth,Anthony Taylor,3,8,11,Turf Moor (Burnley)
Cardiff City,Manchester City,Michael Oliver,1,9,10,Cardiff City Stadium (Cardiff (Caerdydd))
Crystal Palace,Newcastle United,Andre Marriner,9,5,14,Selhurst Park (London)
Leicester City,Huddersfield Town,David Coote,3,1,4,King Power Stadium (Leicester- Leicestershire)
Liverpool,Southampton,Paul Tierney,5,4,9,Anfield (Liverpool)
Manchester United,Wolverhampton Wanderers,Kevin Friend,5,4,9,Old Trafford (Manchester)
Brighton & Hove Albion,Tottenham Hotspur,Chris Kavanagh,5,7,12,The American Express Community Stadium (Falmer- East Sussex)
West Ham United,Chelsea,Mike Dean,1,8,9,London Stadium (London)
Arsenal,Everton,Jonathan Moss,5,9,14,Emirates Stadium (London)
West Ham United,Manchester United,Michael Oliver,4,9,13,London Stadium (London)
Arsenal,Watford,Anthony Taylor,6,6,12,Emirates Stadium (London)
Everton,Fulham,Roger East,12,1,13,Goodison Park (Liverpool)
Huddersfield Town,Tottenham Hotspur,Craig Pawson,3,0,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Manchester City,Brighton & Hove Albion,Lee Mason,10,3,13,Etihad Stadium (Manchester)
Newcastle United,Leicester City,Simon Hooper,5,9,14,St. James' Park (Newcastle upon Tyne)
Wolverhampton Wanderers,Southampton,Stuart Attwell,8,6,14,Molineux Stadium (Wolverhampton- West Midlands)
Chelsea,Liverpool,Andre Marriner,4,4,8,Stamford Bridge (London)
Cardiff City,Burnley,Martin Atkinson,10,2,12,Cardiff City Stadium (Cardiff (Caerdydd))
AFC Bournemouth,Crystal Palace,Mike Dean,3,3,6,Vitality Stadium (Bournemouth- Dorset)
Brighton & Hove Albion,West Ham United,Kevin Friend,2,9,11,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Huddersfield Town,Chris Kavanagh,1,10,11,Turf Moor (Burnley)
Crystal Palace,Wolverhampton Wanderers,Michael Oliver,6,3,9,Selhurst Park (London)
Leicester City,Everton,Andre Marriner,2,10,12,King Power Stadium (Leicester- Leicestershire)
Tottenham Hotspur,Cardiff City,Mike Dean,6,2,8,Wembley Stadium (London)
Watford,AFC Bournemouth,Jonathan Moss,10,7,17,Vicarage Road (Watford)
Manchester United,Newcastle United,Anthony Taylor,10,6,16,Old Trafford (Manchester)
Fulham,Arsenal,Paul Tierney,4,2,6,Craven Cottage (London)
Southampton,Chelsea,Craig Pawson,4,12,16,St. Mary's Stadium (Southampton- Hampshire)
Liverpool,Manchester City,Martin Atkinson,2,6,8,Anfield (Liverpool)
Chelsea,Manchester United,Mike Dean,5,3,8,Stamford Bridge (London)
AFC Bournemouth,Southampton,Lee Probert,6,4,10,Vitality Stadium (Bournemouth- Dorset)
Cardiff City,Fulham,Kevin Friend,4,4,8,Cardiff City Stadium (Cardiff (Caerdydd))
Manchester City,Burnley,Jonathan Moss,10,1,11,Etihad Stadium (Manchester)
Newcastle United,Brighton & Hove Albion,Andre Marriner,10,2,12,St. James' Park (Newcastle upon Tyne)
West Ham United,Tottenham Hotspur,Martin Atkinson,10,6,16,London Stadium (London)
